Y,V1,V2,V3,V4,V5,V6,V7,V8,V9
" 9,111 ",0,0,0.343088,0,100.4014,100.6104,0.04,0.551271,3.361059
" 10,918 ",0,0,0.343088,0,100.5697,100.7629,0.04,0.551271,3.361059
" 13,402 ",0,0,0.343088,0,100.7521,100.8958,0.04,0.551271,3.361059
" 11,530 ",0,0,0.357665,0,100.9278,101.011,0.04,0.556536,3.559978
" 9,972 ",0,0,0.357665,0,101.0532,101.108,0.04,0.556536,3.559978
" 11,552 ",0,0,0.357665,0,101.1457,101.1926,0.04,0.556536,3.559978
" 9,582 ",0,0,0.336363,0,101.193,101.2726,0.05,0.561589,3.290291
" 10,649 ",0,0,0.336363,0,101.2264,101.3574,0.05,0.561589,3.290291
" 14,917 ",0,0,0.336363,0,101.2968,101.4509,0.05,0.561589,3.290291
" 13,133 ",0,0,0.350573,0,101.3587,101.5558,0.05,0.570922,3.377418
" 15,515 ",0,0,0.350573,0,101.412,101.669,0.05,0.570922,3.377418
" 10,633 ",0,0,0.350573,0,101.452,101.7832,0.05,0.570922,3.377418
" 10,051 ",0,0,0.355427,0,101.4749,101.8875,0.03,0.567091,3.395206
" 11,370 ",0,0,0.355427,0,101.5092,101.9788,0.03,0.567091,3.395206
" 16,093 ",0,0,0.355427,0,101.5563,102.057,0.03,0.567091,3.395206
" 10,821 ",0,0,0.35863,0,101.5808,102.1203,0.01,0.583683,3.055266
" 12,761 ",0,0,0.35863,0,101.5807,102.1643,0.01,0.583683,3.055266
" 12,767 ",0,0,0.35863,0,101.5515,102.1748,0.01,0.583683,3.055266
" 11,941 ",0,0,0.338015,0,101.4742,102.1443,0.05,0.579332,3.085788
" 11,074 ",0,0,0.338015,0,101.3684,102.0778,0.05,0.579332,3.085788
" 14,482 ",0,0,0.338015,0,101.2514,101.9898,0.05,0.579332,3.085788
" 13,937 ",0,0,0.333232,0,101.1615,101.8904,0.04,0.573463,2.834575
" 17,892 ",0,0,0.333232,0,101.1221,101.7781,0.04,0.573463,2.834575
" 13,277 ",0,0,0.333232,0,101.0658,101.6556,0.04,0.573463,2.834575
" 12,784 ",0,0.011998,0.318753,0.009345,100.9925,101.5224,0.09,0.588303,2.476705
" 12,672 ",0,0.011998,0.318753,0.009345,100.9071,101.3678,0.09,0.588303,2.476705
" 15,354 ",0,0.011998,0.318753,0.009345,100.8107,101.1803,0.09,0.588303,2.476705
" 10,697 ",0,0.00874,0.311344,0.006623,100.6681,100.9456,0.03,0.60149,1.435687
" 10,955 ",0,0.00874,0.311344,0.006623,100.5038,100.6446,0.03,0.60149,1.435687
" 11,587 ",0,0.00874,0.311344,0.006623,100.2974,100.2635,0.03,0.60149,1.435687
" 13,468 ",0,0.014247,0.339063,0.011859,100.0537,99.79507,0.03,0.590887,0.10359
" 11,423 ",0,0.014247,0.339063,0.011859,99.73712,99.23876,0.03,0.590887,0.10359
" 16,002 ",0,0.014247,0.339063,0.011859,99.25699,98.60155,0.03,0.590887,0.10359
" 10,483 ",0,0.016692,0.34707,0.014934,98.57122,97.91336,-0.04,0.592146,-2.338862
" 10,915 ",0,0.016692,0.34707,0.014934,97.7894,97.24657,-0.04,0.592146,-2.338862
" 10,373 ",0,0.016692,0.34707,0.014934,97.11568,96.68591,-0.04,0.592146,-2.338862
" 8,709 ",0,0.02152,0.316956,0.016849,96.69913,96.29729,-0.06,0.59552,-5.418855
" 6,951 ",0,0.02152,0.316956,0.016849,96.42315,96.10503,-0.06,0.59552,-5.418855
" 11,068 ",0,0.02152,0.316956,0.016849,96.322,96.12723,-0.06,0.59552,-5.418855
" 7,989 ",0,0.016021,0.307863,0.012529,96.42055,96.35481,-0.03,0.602636,-5.324293
